N,Childs,Tournament size,Crossover prob,Mutation prob,Elite size,Generations,Population size,GA CPU time,Fitness,Date
20,100,30,0.3,0.3,30,20,100,28.036630662,2717.14054804913,2024-09-18 17:02:02.876978
20,100,5,0.3,0.3,5,20,150,28.094739729,2626.21567307877,2024-09-18 17:02:27.287337
20,100,10,0.3,0.3,5,20,150,28.386351862,2432.45152516466,2024-09-18 17:02:31.823493
20,100,20,0.3,0.3,5,20,150,29.801573894,2803.20725314561,2024-09-18 17:02:57.592310
20,100,30,0.3,0.3,5,20,150,29.978887448,2817.90552789726,2024-09-18 17:03:02.230301
20,100,5,0.3,0.3,10,20,150,30.362449425,2643.87577693772,2024-09-18 17:03:28.297731
20,100,10,0.3,0.3,10,20,150,27.991480989,2415.37235282652,2024-09-18 17:03:30.765815
20,100,20,0.3,0.3,10,20,150,28.332729934,2798.76977859653,2024-09-18 17:03:57.421142
20,100,30,0.3,0.3,10,20,150,28.74588926,2757.76277908346,2024-09-18 17:03:59.994984
20,100,10,0.3,0.3,20,20,150,29.739042489,2578.03694824914,2024-09-18 17:04:29.886380
20,100,5,0.3,0.3,20,20,150,32.517769445,2553.57975300968,2024-09-18 17:04:30.313379
20,100,20,0.3,0.3,20,20,150,25.179876668,2706.1416490453,2024-09-18 17:04:58.169932
20,100,30,0.3,0.3,20,20,150,24.983436689,2817.90552789726,2024-09-18 17:04:58.581367
20,100,10,0.3,0.3,30,20,150,23.91105277,2817.90552789726,2024-09-18 17:05:26.990575
20,100,5,0.3,0.3,30,20,150,25.789211653,2483.63275306324,2024-09-18 17:05:28.503874
20,100,20,0.3,0.3,30,20,150,24.968539969,2812.16093880585,2024-09-18 17:05:56.370766
20,100,30,0.3,0.3,30,20,150,27.415899655,2512.83092070385,2024-09-18 17:05:59.769588
20,100,5,0.3,0.3,5,20,200,31.059313885,2505.97738160881,2024-09-18 17:06:28.917870
20,100,10,0.3,0.3,5,20,200,30.896080807,2889.59623108268,2024-09-18 17:06:32.095218
20,100,20,0.3,0.3,5,20,200,27.671578836,2612.43347326789,2024-09-18 17:06:59.563481
20,100,30,0.3,0.3,5,20,200,27.050150277,2640.72580756543,2024-09-18 17:07:03.519309
20,100,5,0.3,0.3,10,20,200,32.02012917,2682.54391193289,2024-09-18 17:07:35.488471
20,100,10,0.3,0.3,10,20,200,29.437307046,2513.55803111433,2024-09-18 17:07:36.386346
20,100,20,0.3,0.3,10,20,200,31.469155605,2732.18993675708,2024-09-18 17:08:08.257904
20,100,30,0.3,0.3,10,20,200,34.096737523,2623.26641077999,2024-09-18 17:08:11.748308
20,100,5,0.3,0.3,20,20,200,31.360289555,2719.87175836173,2024-09-18 17:08:40.935300
20,100,10,0.3,0.3,20,20,200,28.881904325,2529.48680331919,2024-09-18 17:08:41.848186
20,100,30,0.3,0.3,20,20,200,23.048848353,2562.26745469723,2024-09-18 17:09:11.898357
20,100,20,0.3,0.3,20,20,200,26.396762885,2659.32848024313,2024-09-18 17:09:15.206214
20,100,5,0.3,0.3,30,20,200,30.477754859,2713.30453111178,2024-09-18 17:09:50.728462
20,100,10,0.3,0.3,30,20,200,30.649963604,2535.79695346504,2024-09-18 17:09:53.148209
20,100,20,0.3,0.3,30,20,200,23.839660696,2936.26875319347,2024-09-18 17:10:24.041760
20,100,30,0.3,0.3,30,20,200,23.717141313,2817.90552789726,2024-09-18 17:10:25.677350
30,100,5,0.3,0.3,5,20,50,74.724960541,4024.3924507629,2024-09-18 17:28:40.752260
30,100,10,0.3,0.3,5,20,50,79.70154273,4260.49703580895,2024-09-18 17:48:50.375148
30,100,20,0.3,0.3,5,20,50,78.786272434,4073.11481194491,2024-09-18 18:09:14.131725
30,100,30,0.3,0.3,5,20,50,80.850016538,3912.72485433574,2024-09-18 18:12:23.843690
15,100,20,0.3,0.3,10,20,100,13.343123236,2129.84563887785,2024-09-18 18:17:52.844171
25,100,20,0.3,0.3,10,20,100,36.419337238,2909.38166968267,2024-09-18 18:21:48.609959
30,100,20,0.3,0.3,10,20,100,66.654405728,4068.38001136054,2024-09-18 18:24:24.894197
35,100,20,0.3,0.3,10,20,100,88.304342324,4847.2044757142,2024-09-18 18:28:47.161315
40,100,20,0.3,0.3,10,20,100,118.174129917,3932.48615602449,2024-09-18 18:32:26.738082
80,100,20,0.3,0.3,10,20,100,661.222641827,7672.15286261227,2024-09-18 18:32:37.408641
45,100,20,0.3,0.3,10,20,100,157.858729573,5750.72724017555,2024-09-18 18:37:02.275085
60,100,20,0.3,0.3,10,20,100,309.039966897,5596.22481564417,2024-09-18 18:44:52.422171
50,100,20,0.3,0.3,10,20,100,199.199389927,5697.78678443589,2024-09-18 18:59:07.091581
55,100,20,0.3,0.3,10,20,100,285.415579201,6144.1361093129,2024-09-18 19:01:19.625707
65,100,20,0.3,0.3,10,20,100,404.269845022,7212.44729220987,2024-09-18 19:14:44.448376
70,100,20,0.3,0.3,10,20,100,471.718341569,6331.4317954188,2024-09-18 19:15:11.429206
30,100,10,0.3,0.3,10,20,50,70.92155944999999,3896.038091468845,2024-09-19 10:11:04.796870
30,100,5,0.3,0.3,10,20,50,73.940153339,4087.922940160306,2024-09-19 10:11:07.714946
30,100,20,0.3,0.3,10,20,50,74.39083704,4042.0155496921093,2024-09-19 10:12:18.687437
30,100,30,0.3,0.3,10,20,50,75.202959761,4163.951988161453,2024-09-19 10:12:22.620208
30,100,5,0.3,0.3,20,20,50,68.688558814,4128.067647428142,2024-09-19 10:13:26.696901
30,100,10,0.3,0.3,20,20,50,75.619191527,4094.0262250545657,2024-09-19 10:13:37.283030
30,100,20,0.3,0.3,20,20,50,73.889465887,3808.5039768954857,2024-09-19 10:14:39.711084
30,100,30,0.3,0.3,20,20,50,67.955877009,4039.9718497719623,2024-09-19 10:14:43.921132
30,100,10,0.3,0.3,30,20,50,70.755565344,4226.330864685202,2024-09-19 10:15:53.210941
30,100,5,0.3,0.3,30,20,50,74.452292977,4142.990337102539,2024-09-19 10:15:53.333408
30,100,30,0.3,0.3,30,20,50,73.463193224,3890.137301237948,2024-09-19 10:17:05.697660
30,100,20,0.3,0.3,30,20,50,73.842167227,4092.630713173964,2024-09-19 10:17:05.845311
30,100,5,0.3,0.3,5,20,100,77.99431531799999,4042.029396013496,2024-09-19 10:18:22.440965
30,100,10,0.3,0.3,5,20,100,80.78725647,3999.101111744646,2024-09-19 10:18:25.282832
